name,salary_from,salary_to,salary_currency,area_name,published_at
Специалист по информационной безопасности (ведущий специалист-эксперт),33000,47000,RUR,Иркутск,2022-12-21T06:03:35+0300
Менеджер проектных продаж,80000,,RUR,Самара,2022-12-21T07:41:05+0300
Инженер КИПиА,70000,,RUR,Топки,2022-12-21T06:14:56+0300
Программист 1C,50000,,RUR,Энгельс,2022-12-21T07:03:00+0300
Аналитик,60000,,RUR,Владивосток,2022-12-21T07:17:30+0300
Оператор станков продольного точения с ЧПУ на предприятие (г. Белово),50000,70000,RUR,Ленинск-Кузнецкий,2022-12-21T06:32:10+0300
Сервисный инженер-механик,70000,,RUR,Новокузнецк,2022-12-21T06:54:44+0300
Оператор станка ЧПУ (Лазерная резка),50000,,RUR,Новосибирск,2022-12-21T06:16:31+0300
Приемщик в компьютерный сервисный центр,40000,45000,RUR,Москва,2022-12-21T07:09:38+0300
Сервисный инженер (ремонт техники),40000,,RUR,Новосибирск,2022-12-21T07:28:38+0300
Руководитель интернет-проектов / Руководитель IT-проектов,120000,,RUR,Москва,2022-12-21T07:28:47+0300
Оператор чпу,40000,,RUR,Барнаул,2022-12-21T07:15:09+0300
Механик,,100000,RUR,Сургут,2022-12-21T07:25:06+0300
Разработчик БД,100000,150000,RUR,Москва,2022-12-21T07:14:14+0300
Сервисный инженер-механик,70000,,RUR,Киселевск,2022-12-21T06:54:44+0300
Специалист по сопровождению 1С ERP,60000,,RUR,Екатеринбург,2022-12-21T06:26:22+0300
Токарь,100000,,RUR,Владимир,2022-12-21T07:51:20+0300
Механик ДСТ,130000,150000,RUR,Кемерово,2022-12-21T06:48:39+0300
Токарь,80000,,RUR,Челябинск,2022-12-21T06:10:11+0300
Backend разработчик,80000,,RUR,Томск,2022-12-21T07:07:26+0300
Техник по включениям,250000,,KZT,Астана,2022-12-21T06:18:54+0300
Токарь-универсал,54000,,RUR,Красноярск,2022-12-21T07:48:06+0300
Оператор станка с ЧПУ (фрезер по дереву),40000,,RUR,Челябинск,2022-12-21T06:45:52+0300
Оператор станков с ПУ (токарная и фрезерная группа),61000,90000,RUR,Омск,2022-12-21T07:39:32+0300
Фрезеровщик,100000,,RUR,Воронеж,2022-12-21T07:53:11+0300
1С Специалист-консультант,200000,400000,KZT,Астана,2022-12-21T06:23:13+0300
Журналист-копирайтер,5000000,8000000,UZS,Ташкент,2022-12-21T07:35:03+0300
Токарь 6 разряд,45000,,RUR,Красноярск,2022-12-21T06:48:57+0300
Рабочий на мебельное производство,40000,,RUR,Челябинск,2022-12-21T06:45:52+0300
Программист-разработчик,130000,,RUR,Новосибирск,2022-12-21T07:27:13+0300
Программист 1С,110000,,RUR,Красноярск,2022-12-21T07:24:45+0300
"Наладчик, настройщик термопласт автоматов",55000,90000,RUR,Сосновоборск,2022-12-21T07:53:50+0300
Территориальный системный администратор,75000,,RUR,Барнаул,2022-12-21T07:47:16+0300
Токарь-универсал,48000,,RUR,Омск,2022-12-21T06:48:08+0300
Оператор станков продольного точения с ЧПУ на предприятие (г. Белово),50000,70000,RUR,Кемерово,2022-12-21T06:29:50+0300
Системный администратор отдела IT,50000,50000,RUR,Березовка (Красноярский край),2022-12-21T06:24:03+0300
Сервис-инженер по ремонту,40000,,RUR,Новосибирск,2022-12-21T07:28:28+0300
Сервис-инженер (ремонтно-сервисной службы по оборудованию с ЧПУ),52200,,RUR,Челябинск,2022-12-21T06:45:06+0300
Электромеханик линейных сооружений связи и абонентских устройств (г. Салават),35000,45000,RUR,Мелеуз,2022-12-21T07:39:17+0300
Монтажник слаботочных систем,50000,70000,RUR,Омск,2022-12-21T06:10:02+0300
Гибщик металла,54000,,RUR,Красноярск,2022-12-21T07:48:06+0300
"Системный администратор, 1С 8.3",150000,150000,KZT,Павлодар,2022-12-21T07:47:55+0300
Менеджер направления ретейл,35000,,RUR,Владивосток,2022-12-21T07:10:38+0300
Оператор станков продольного точения с ЧПУ на предприятие (г. Белово),50000,70000,RUR,Новокузнецк,2022-12-21T06:31:18+0300
Программист 1C,35000,,RUR,Кемерово,2022-12-21T07:41:53+0300
Программист 1C,100000,,RUR,Красноярск,2022-12-21T07:28:11+0300
Мастер по ремонту техники,45000,85000,RUR,Хабаровск,2022-12-21T07:00:38+0300
Токарь,100000,,RUR,Белгород,2022-12-21T07:51:20+0300
"Региональный инженер (системы видеонаблюдения, охранно-пожарная сигнализация)",79200,79200,RUR,Красноярск,2022-12-21T06:53:11+0300
Техник по включениям,250000,,KZT,Костанай,2022-12-21T06:18:34+0300
Электромеханик линейных сооружений связи и абонентских устройств (г. Салават),35000,45000,RUR,Салават,2022-12-21T07:39:17+0300
Заливщик металла,,45000,RUR,Мензелинск,2022-12-21T07:56:57+0300
Редактор по репертуару,32000,35000,RUR,Красноярск,2022-12-21T06:37:08+0300
Техник по сервису,,310000,KZT,Астана,2022-12-21T06:19:03+0300
Программист 1С,110000,,RUR,Хабаровск,2022-12-21T07:24:45+0300
Специалист внедрения и сопровождения 1С ERP,100000,,RUR,Самара,2022-12-21T07:22:38+0300
Рабочий по комплексному обслуживанию зданий (Гайва),20000,22000,RUR,Пермь,2022-12-21T07:02:24+0300
Бизнес-аналитик,250000,300000,KZT,Отеген-Батыр,2022-12-21T07:30:35+0300
Программист 1C,350000,,KZT,Караганда,2022-12-21T06:31:55+0300
Техник по включениям,250000,,KZT,Усть-Каменогорск,2022-12-21T06:18:27+0300
Оператор,40000,55000,RUR,Сургут,2022-12-21T07:30:15+0300
Менеджер по продукту,50000,,RUR,Челябинск,2022-12-21T06:42:18+0300
Механик по ремонту и обслуживанию оборудования,70000,90000,RUR,Тюмень,2022-12-21T07:07:39+0300
Фрезеровщик,60000,60000,RUR,Красноярск,2022-12-21T07:48:06+0300
Литейщик металлов и сплавов,35000,,RUR,Уфа,2022-12-21T06:39:27+0300
Главный механик,70000,100000,RUR,Уфа,2022-12-21T07:03:38+0300
Инженер по ремонту техники,50000,90000,RUR,Хабаровск,2022-12-21T07:00:42+0300
Начинающий PHP Программист,40000,60000,RUR,Екатеринбург,2022-12-21T06:43:07+0300
Заливщик металла,,45000,RUR,Менделеевск,2022-12-21T07:56:49+0300
Разработчик/Аналитик ЦФТ-Банк,200000,300000,RUR,Новосибирск,2022-12-21T07:33:57+0300
